,date,country,price(eur/mwh)
0,01/05/2023,Albania,
1,01/05/2023,Austria,45.0
2,01/05/2023,Belgium,67.0
3,01/05/2023,Bosnia and Herz.,
4,01/05/2023,Bulgaria,78.0
5,01/05/2023,Croatia,77.0
6,01/05/2023,Cyprus,
7,01/05/2023,Czech Rep.,78.0
8,01/05/2023,Denmark,64.0
9,01/05/2023,Estonia,65.0
10,01/05/2023,Finland,65.0
11,01/05/2023,France,127.0
12,01/05/2023,Georgia,
13,01/05/2023,Germany,33.0
14,01/05/2023,Greece,226.0
15,01/05/2023,Hungary,79.0
16,01/05/2023,Ireland,170.0
17,01/05/2023,Italy,188.0
18,01/05/2023,Kosovo,
19,01/05/2023,Latvia,65.0
20,01/05/2023,Lithuania,69.0
21,01/05/2023,Luxembourg,33.0
22,01/05/2023,Malta,
23,01/05/2023,Moldova,
24,01/05/2023,Montenegro,
25,01/05/2023,Netherlands,69.0
26,01/05/2023,North Macedonia,
27,01/05/2023,Norway,98.0
28,01/05/2023,Poland,78.0
29,01/05/2023,Portugal,58.0
30,01/05/2023,Romania,78.0
31,01/05/2023,Serbia,89.0
32,01/05/2023,Slovakia,80.0
33,01/05/2023,Slovenia,77.0
34,01/05/2023,Spain,58.0
35,01/05/2023,Sweden,64.0
36,01/05/2023,Switzerland,74.0
37,01/05/2023,Turkey,
38,01/05/2023,Ukraine,
39,01/05/2023,United Kingdom,
0,01/06/2023,Albania,
1,01/06/2023,Austria,128.0
2,01/06/2023,Belgium,124.0
3,01/06/2023,Bosnia and Herz.,
4,01/06/2023,Bulgaria,127.0
5,01/06/2023,Croatia,127.0
6,01/06/2023,Cyprus,
7,01/06/2023,Czech Rep.,121.0
8,01/06/2023,Denmark,112.0
9,01/06/2023,Estonia,112.0
10,01/06/2023,Finland,112.0
11,01/06/2023,France,121.0
12,01/06/2023,Georgia,
13,01/06/2023,Germany,117.0
14,01/06/2023,Greece,207.0
15,01/06/2023,Hungary,128.0
16,01/06/2023,Ireland,136.0
17,01/06/2023,Italy,174.0
18,01/06/2023,Kosovo,
19,01/06/2023,Latvia,112.0
20,01/06/2023,Lithuania,112.0
21,01/06/2023,Luxembourg,117.0
22,01/06/2023,Malta,
23,01/06/2023,Moldova,
24,01/06/2023,Montenegro,
25,01/06/2023,Netherlands,130.0
26,01/06/2023,North Macedonia,
27,01/06/2023,Norway,99.0
28,01/06/2023,Poland,101.0
29,01/06/2023,Portugal,104.0
30,01/06/2023,Romania,127.0
31,01/06/2023,Serbia,134.0
32,01/06/2023,Slovakia,126.0
33,01/06/2023,Slovenia,126.0
34,01/06/2023,Spain,104.0
35,01/06/2023,Sweden,96.0
36,01/06/2023,Switzerland,132.0
37,01/06/2023,Turkey,
38,01/06/2023,Ukraine,
39,01/06/2023,United Kingdom,
0,01/07/2023,Albania,
1,01/07/2023,Austria,148.0
2,01/07/2023,Belgium,85.0
3,01/07/2023,Bosnia and Herz.,
4,01/07/2023,Bulgaria,170.0
5,01/07/2023,Croatia,149.0
6,01/07/2023,Cyprus,
7,01/07/2023,Czech Rep.,107.0
8,01/07/2023,Denmark,85.0
9,01/07/2023,Estonia,96.0
10,01/07/2023,Finland,74.0
11,01/07/2023,France,85.0
12,01/07/2023,Georgia,
13,01/07/2023,Germany,89.0
14,01/07/2023,Greece,237.0
15,01/07/2023,Hungary,174.0
16,01/07/2023,Ireland,122.0
17,01/07/2023,Italy,196.0
18,01/07/2023,Kosovo,
19,01/07/2023,Latvia,96.0
20,01/07/2023,Lithuania,96.0
21,01/07/2023,Luxembourg,89.0
22,01/07/2023,Malta,
23,01/07/2023,Moldova,
24,01/07/2023,Montenegro,
25,01/07/2023,Netherlands,86.0
26,01/07/2023,North Macedonia,
27,01/07/2023,Norway,83.0
28,01/07/2023,Poland,124.0
29,01/07/2023,Portugal,24.0
30,01/07/2023,Romania,170.0
31,01/07/2023,Serbia,159.0
32,01/07/2023,Slovakia,134.0
33,01/07/2023,Slovenia,142.0
34,01/07/2023,Spain,24.0
35,01/07/2023,Sweden,74.0
36,01/07/2023,Switzerland,147.0
37,01/07/2023,Turkey,
38,01/07/2023,Ukraine,
39,01/07/2023,United Kingdom,
0,01/08/2023,Albania,
1,01/08/2023,Austria,112.0
2,01/08/2023,Belgium,68.0
3,01/08/2023,Bosnia and Herz.,
4,01/08/2023,Bulgaria,100.0
5,01/08/2023,Croatia,100.0
6,01/08/2023,Cyprus,
7,01/08/2023,Czech Rep.,89.0
